,date,title,source,contents,link
0,2012.12.31.,"오늘과내일, 한일네트웍스로 사명 변경",보안뉴스,올 12월 한일정보통신 인수합병으로 인해 변경 [보안뉴스 권 준] 웹 호스팅 전문업체 오늘과내일이 한일네트웍스라는 새로운 사명으로 재탄생한다. 오늘과내일 측은 “올 12월 시스템 통합 및 관리...,http://www.boannews.com/media/view.asp?idx=34269&kind=1
1,2012.12.30.,한일 공동 바이오연료 생산 증대에 기여할 유전자 첫 발견,전자신문,국내 연구진이 일본 연구팀과 함께 바이오연료 생산을 늘릴 수 있는 유전자를 세계 최초로 발견했다. 야자·들깨 등에 있는 식물성 지방을 생산하는 주요 재료인 지방산을 수송하는 유전자다. 포스텍 이영숙 교수...,http://www.etnews.com/news/economy/education/2698796_1491.html
2,2012.12.31.,"[백투더 백구대제전] 김상우 위원 ""한일전은 배구 인기의 중심""",엑스포츠뉴스,"""1995년 월드리그 한일전 때 우리들을 응원하는 관중들의 응원은 지금과 비교할 수 없을 정도였어요."" 축구와 야구가 그렇듯 배구의 '한일전'도 숱한 명승부를 펼쳐왔다. 90년대 한국과 일본의 치열한 승부는 배구 인기의...",http://xportsnews.hankyung.com/?ac=article_view&entry_id=285145
3,2012.12.31.,[무로이의 가깝고도 먼 한일야구]관중 감소 일본야구가 주목하는 한국식 팬서...,스포츠조선,"한국 프로야구는 2012년 사상 최초로 관중 700만명을 돌파했다. 한국 프로야구가 관중 동원에 성공한 것은 야구에 대한 팬들의 관심이 높아져서이지만, 각 구단의 다양한 팬 서비스도 팬들을 경기장으로 잡아 끈 원동력 중...",http://sports.chosun.com/news/ntype.htm?id=201301010100002020015917&servicedate=20121231
4,2012.12.28.,2012 최고 골은 ‘박주영 한일전 결승골’,KBS TV,"런던 올림픽 한일전에서 박주영이 터트린 결승골이, 축구 팬들이 투표로 뽑은 올해 최고의 골로 선정됐습니다. 정충희 기자입니다. 박주영의 번개같은 드리블과 개인기에 일본 수비수들은 낙엽처럼 흩어집니다. 첫...",http://news.kbs.co.kr/news/NewsView.do?SEARCH_NEWS_CODE=2589111
5,2012.12.26.,"MB, 아베 日총리에게 ""한일은 가까운 이웃""",뷰스앤뉴스,"이 대통령은 서한에서 ""한일 양국은 가까운 이웃이자 우방으로서 긴밀한 교류와 협력을 해왔다""며 ""한일 양국이 미래지향적으로 협력하는 것은 양국과 동북아, 세계의 평화와 번영을 위해서도 중요하다고 생각하며 앞으로...",http://www.viewsnnews.com/article/view.jsp?seq=94911
6,2012.12.27.,"한일전 박주영 골, 팬이 뽑은 올해 베스트골",인터풋볼,"[인터풋볼] 한국 축구 팬들이 한일전에서 터진 박주영의 골을 올 시즌 최고의 골로 선정했다. 대한축구협회는 지난 14일부터 26일까지 홈페이지에서 축구 팬을 대상으로 올해 베스트 경기와 베스트 골, 최우수...",http://www.interfootball.co.kr/news/view.php?gisa_uniq=2012122716073459§ion_code=99
7,2012.12.28.,"한일단조공업, 38억원 트레일러 하우징 부품 공급계약 체결",아시아경제,"[ 한일단조공업은 미국 핸드릭슨을 상대로 37억9000만원 규모 브레이크 스파이더 조립체 관련 공급계약을 체결했다고 28일 공시했다. 이는 트레일러 하우징에 적용되는 핵심 부품 중 하나로, 계약금액은 최근 매출액...",http://www.asiae.co.kr/news/view.htm?idxno=2012122812473095983
8,2012.12.27.,한일전기 임직원 '사랑의 연탄나눔' 동참,연합뉴스,한일전기 임직원들이 26일 연말을 맞아 저소득층 가정을 대상으로 '사랑의 연탄나눔' 활동을 벌였다. 생활가전업체 한일전기는 임직원들이 연말을 맞아 저소득층 가정을 대상으로 '사랑의 연탄나눔' 봉사활동을...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0006010183
9,2012.12.27.,"한일건설, 부산드림빌테마파크 신축 계약해지",머니투데이,"한일건설은 지난 2005년 더파크(옛 성지곡동물원)과 체결한 273억원 규모의 성지곡동물원 증축공사(가칭 부산드림빌 테마파크 신축공사)가 해지됐다고 27일 공시했다. 한일건설은 ""계약상대방이 당사에 지급하여야 할...",http://www.mt.co.kr/view/mtview.php?type=1&no=2012122717315427800&outlink=1
10,2012.12.26.,"[ONEWS] 신화, 14주년 기념 서울 라이브 콘서트 DVD 한일 동시 발매",OBS,그룹 신화의 데뷔 14주년 기념 서울 라이브 콘서트 DVD가 26일 한국과 일본에 동시 발매된다. 지난 10월 데뷔 14주년 기념 컴백 스페셜 DVD 'SHINHWA 14th ANNIVERSARY SPECIAL DVD 'THE RETURN''이 2만 5천장의 판매고를 올리며...,http://www.obsnews.co.kr/news/articleView.html?idxno=675686
11,2012.12.27.,"日 언론, 내년 한일전 개최 가능성 제기",베스트일레븐,"(베스트 일레븐) 한일전이 내년 일본에서 개최될 가능성이 제기됐다. 일본 스포츠지 &lt;산케이 스포츠&gt;는 오는... 세계 30위 권팀은 강호라고 생각하며, 한국도 강호”라며 한일전 성사 가능성이 높다는 점을 암시했다. 만약...",http://www.besteleven.com/National/news_world_01_view.asp?iBoard=12&iIDX=51274
12,2012.12.27.,한일 양국 외교장관 전화통화,정책브리핑,제12-1066호 배포일시 : 2012.12.27(목) 문 의 : 동북아국 이상덕 심의관 (☎:2100-7331) 제 목 : 한.일 양국 외교장관 전화통화 1. 김성환 외교통상부장관은 12.27(목) 15:30-15:45간 취임 인사차 전화를 걸어온「기시다 후미오...,http://www.korea.kr/policy/pressReleaseView.do?newsId=155868862&call_from=naver_news
13,2012.12.27.,올해 최고의 골은? ‘박주영 한일전 결승골’,KBS TV,"런던 올림픽 한일전에서 박주영이 터트린 환상적인 결승골이, 축구 팬들이 투표로 뽑은 올해 최고의 골로 선정됐습니다. 정충희 기자가 보도합니다. 박주영의 번개같은 드리블과 개인기에 일본 수비수들은 낙엽처럼...",http://news.kbs.co.kr/news/NewsView.do?SEARCH_NEWS_CODE=2588862
14,2012.12.26.,"정부, 日 아베 내각에 ""올바른 역사인식 위에서 한일관계 발전시키자""",뉴스1,"논평은 ""한일 양국은 그간 가까운 이웃으로서 정치·경제·문화· 등 제반분야에서 긴밀한 관계를 발전시켜왔으며, 지역·국제문제 등에 있어서도 폭넓게 협력해 왔다""고 평가했다. 그러면서 ""우리는 이번 출범하는...",http://news1.kr/articles/948471
15,2012.12.26.,"""한일극장 앞 횡단보도 즉각 설치하라""",경북매일신문,대구지역 장애인단체와 시민단체들이 대구시가 중구 동성로 한일극장 앞 횡단보도 설치를 연기할 움직임을 보이자 횡단보도 즉각설치를 촉구하고 나섰다. 대구시에 따르면 지난 10월 중구 동성로 한일극장 앞...,http://www.kbmaeil.com/news/articleView.html?idxno=274380
16,2012.12.27.,[특징주] 한일 호재에 원전주 상승,조선비즈,원자력 관련주가 활짝 웃었다. 정부가 원자력 안전성과 경쟁력을 획기적으로 강화하기 위해 2030년까지 5조6000억원을 투자하겠다는 소식이 전해졌기 때문이다. 이에 앞서 일본의 아베 신조 총리가...,http://biz.chosun.com/site/data/html_dir/2012/12/27/2012122701751.html
17,2012.12.26.,"코웨이, 日서 한일 대학생 글로벌 환경캠프 열어",머니투데이,"[그린메이커 5기, 공해지역에서 환경산업단지로 거듭난 기타큐슈 에코타운 현장 찾아] 코웨이의 친환경 마케팅 프로그램 그린메이커에 참가한 대학생 40여 명이 기타큐슈 에코타운 정문 앞에서 기념사진을 촬영하고 있다....",http://www.mt.co.kr/view/mtview.php?type=1&no=2012122610331459086&outlink=1
18,2012.12.27.,"CGV 대구 한일, 28일 오픈…동성로",뉴시스,= CGV 대구 한일이 대구 동성로에서 28일 개장한다. 동성로 초입의 쇼핑몰 엑슨 밀라노에 터를 잡은 CGV대구한일은 기존의 ‘한일극장’이 이름을 바꾸고 5개관 832석 규모로 리뉴얼했다. 오픈 당일 경품 증정 등...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=003&aid=0004899916
19,2012.12.25.,사케 ‘웃고’ 막걸리 ‘울고’…한일 전통주 희비,KBS TV,"반면 우리술 막걸리는 수출이 30% 가까이 ?감소하면서 한일 전통주 간 ?희비가 엇갈렸는데요. ?왜 이런 현상이... 가격이 싸다는 것은 품질 관리에 그만큼 투자를 안 했다는 얘기와도 같은 거거든요."" 희비가 엇길린 한 일...",http://news.kbs.co.kr/news/NewsView.do?SEARCH_NEWS_CODE=2587378
20,2012.12.26.,"CGV, 대구 최고 번화가 동성로에 CGV대구한일 오픈",스포츠월드,CGV대구한일이 대구 최고의 번화가 동성로에 오는 28일 새롭게 오픈한다. 동성로 초입의 쇼핑몰 엑슨 밀라노에 위치한 CGV대구한일은 기존 ‘한일극장’이 이름을 바꾸고 전면 리뉴얼을 통해 새롭게 탄생하게...,http://www.sportsworldi.com/Articles/LeisureLife/Article.asp?aid=20121226021896&OutUrl=naver
21,2012.12.26.,"[인터뷰] 전면 무료화 선언한 테라, 김낙형 한일라이브 팀장",베타뉴스,"이날 기자 간담회는 '테라' 개발사인 블루홀 스튜디오 김낙형 한일라이브 팀장이 콘텐츠 업데이트를 발표하고, 질의응답 시간을 진행했다. 질문) 지금까지 테라는 PC방 점유율 낮다, 무료개방 이외에 인기하락의 원인은...",http://www.betanews.net/article/572872
22,2012.12.27.,한일전 피한 대진운 최고…전력은 최저?,데일리안,한국야구가 월드베이스볼클래식(WBC) 딜레마에 빠졌다. 한국은 1·2회 대회에서 각각 4강과 준우승이라는 호성적을 거뒀다. 대표팀의 선전은 당시 국내 프로야구의 중흥에도 크게 기여했다는 평가다. 당연히 이번 대회를...,http://www.dailian.co.kr/news/news_view.htm?id=320129&sc=naver
23,2012.12.27.,日 언론 “내년 여름 한일전 가능”,스포탈코리아,[= 약 2년 만에 다시 일본에서 한일전이 열릴 가능성이 제기됐다. 일본 스포츠지 ‘산케이스포츠’는 27일... 한일전 개최가 확정된다면 0-3으로 완패하며 ‘삿포로 쇼크’로 불렸던 지난해 8월 10일 일본...,http://www.sportalkorea.com/news/view.php?gisa_uniq=2012122709353613§ion_code=10&key=&field=
24,2012.12.26.,"한일FTA 어떻게 되나, “새 정부간 외교관계 좌우”",뉴스핌,"[ 한일 양국의 자유무역협정(FTA)는 내년 이후 새로운 한일 정부간 외교관계에 따라 진전 여부가 좌우될 것으로 보인다. 일본의 경우 아베 신조 총재가 이끄는 자민당 정부가 새로 출범했고, 우리나라는 박근혜 정부가...",http://www.newspim.com/common/redirect.jsp?newsId=20121226000850
25,2012.12.26.,[단신]한일고등학교 학생들 불우이웃돕기 성금기탁,뉴스1,한일고 학생들이 정안면사무소에서 성금을 전달하고있다. News1 충남 공주시 한일고등학교 학생들이 정안면의 어려운 이웃들을 위해 모은 성금 120만원을 24일 정안면사무소에 전달했다. 한일고 학생들은 올해...,http://news1.kr/articles/947931
26,2012.12.25.,사진속 한일 전통건축의 어제·오늘,한겨레,일본은 백제 계통인 7세기 호류사 말고는 후대에 사례가 별로 없다. &lt;사진으로 풀어본 한일 전통건축&gt;은 한일 두 나라 전통건축의 역사적 특성과 관련 전문 용어를 1000장 넘는 도판과 함께 상세히 설명한 개설서다.,http://www.hani.co.kr/arti/culture/book/566967.html
27,2012.12.27.,[유가증권시장 공시] 삼호 / 한일건설 / 로엔케이·삼양홀딩스·삼양제넥스 등,매일경제,◇한일건설＝2005년 더파크(옛 성지곡동물원)와 체결한 272억7000만원 규모의 성지곡동물원 증축 공사(가칭 부산드림빌 테마파크 신축공사)가 해지. ◇로엔케이ㆍ삼양홀딩스ㆍ삼양제넥스＝공시 변경을 이유로...,http://news.mk.co.kr/news_forward.php?domain=news&no=859809&year=2012
28,2012.12.27.,"추신수 빠진 WBC, 한일전은 국내파 자존심 싸움",마이데일리,이로써 관심을 모으고 있는 내년 WBC 한일전은 국내파 사이의 대결로 변했다. 그간 벌어졌던 두 번의 WBC가... 선수들의 힘겨루기를 볼 수 있다. [2009 WBC 결승전을 앞두고 도열한 한일 대표팀. 사진 = 마이데일리 사진DB] (,http://www.mydaily.co.kr/news/read.html?newsid=201212270949202223&ext=na
29,2012.12.27.,"한일건설, 272억 규모 수주 해지",이투데이,한일건설은 27일 더파크와 지난 2007년 맺은 272억원 규모의 성지곡동물원 증축공사를 해지키로 결정했다고 밝혔다. 회사 측은 더파크가 지급해야 할 기 투입자금 중 일부를 지급하고 보증채무 320억원(책임준공 포함)...,http://www.etoday.co.kr/news/section/newsview.php?idxno=670669
30,2012.12.24.,"MB 정부, 대선 끝나자…‘한일정보협정 추진’ 김태효에 훈장",한겨레,[한겨레] 대선 끝나자 ‘제식구 챙기기’ 비난 정부는 24일 국무회의를 열어 김태효 전 청와대 대외전략기획관 등 393명에게 훈장을 수여하는 영예수여안을 심의 의결했다. 임기말 ‘제식구 챙기기’라는 지적이 나온다. 김...,http://www.hani.co.kr/arti/politics/bluehouse/566849.html
31,2012.12.26.,"[더벨]한일과학산업, 30억~50억 유증 검토",머니투데이,원심분리기 제조업체 한일과학산업이 재무적 문제를 타개키 위해 유상증자를 고려하고 있다. 증자를... 21일 벤처캐피탈 업계에 따르면 한일과학산업은 30억~50억 규모의 유상증자를 통해 기존 최대주주 외...,http://www.mt.co.kr/view/mtview.php?type=1&no=2012122608599629723&outlink=1
32,2012.12.24.,"대구 장애인단체 ""한일극장 앞 횡단보도 즉각 설치를""",뉴시스,"동성로 한일극장 앞 횡단보도 설치 연기와 관련, 대구지역 장애인단체가 강하게 반발하고 있다. 24일 대구시에 따르면 동성로 지하상가 에스컬레이터 공사 계획 차질에 따라 당초 연말까지 설치하기로 했던 한일극장 앞...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0004896680
33,2012.12.26.,[직언직설]日 아베 정권 출범…향후 한일 관계는? (호사카 유지),채널A,"누군지, 한일-중일 관계는 어떻게 될 것인지 전망해보겠습니다. 세종대 호사카 유지 교수 함께합니다... 한일관계에서도 단연... 독도, 문제가 어떻게 될 것인가...에 대한 관심 높죠, 2월 22일이 다케시마의 날, 이거를...",http://news.ichannela.com/politics/3/00/20121226/51857811/1
34,2012.12.27.,전설의 낚시대 '천명극' 둘러싼 강태공 한일전,스포츠경향,"손우빈, 우연히 만난 허백수에게 낚시찌 한 개를 선물 받은 것이 인연이 되어 오래 전 일본에게 빼앗겼던 전설의 낚시대 천명극을 되찾는 일에 뛰어든다. ■‘손맛’의 줄거리 시골 출신 손우빈은 어린 시절 아버지를...",http://sports.khan.co.kr/news/sk_index.html?cat=view&art_id=201212271719323&sec_id=560101&pt=nv
35,2012.12.25.,26일 아베 내각 출범…한일관계는 어디로?,노컷뉴스,일단 한일관계를 경색국면으로 끌고가지 않고 대화를 모색할 것으로 예상된다. 그 동안의 우려와는 달리 아베 내각이 들어선 이후 한일관계가 격랑속으로 빠져들지는 않을 것으로 기대된다. 자민당 아베 총재는 지난 16일...,http://www.nocutnews.co.kr/Show.asp?IDX=2355536
36,2012.12.28.,런던올림픽 한일전 '올해 최고의 경기' 선정,제민일보,2012런던올림픽 한일전이 축구팬이 뽑은 '올해 최고의 경기'에 선정됐다. 대한축구협회는 지난 14일부터 26일까지 KFA홈페이지(www.kfa.or.kr)를 통해 총 999명이 참여한 '2012 올해의 베스트 설문조사'에서 올해의 경기를...,http://www.jemin.com/news/articleView.html?idxno=301212
