,date,title,source,contents,link
0,6시간,한일관계 악화에도 도쿄 한일교류행사 '성황'…7만여명 찾아,연합뉴스,특파원 = 한일 관계 악화에도 불구하고 일본 도쿄(東京)에서 열린 양국 문화 교류 행사에 현지인들이 많은 관심을 보인 것으로 파악됐다. 30일 주일한국문화원에 따르면 28∼29일 도쿄 히비야(日比谷)공원에서 열린 한일축...,http://yna.kr/AKR20190930021800073?did=1195m
1,3시간,한일경제인회의 무슨 얘기 나왔나 “韓日 민간 경제교류는 활발히 지속돼야”,매경이코노미,한일관계가 계속 꼬이고 있는 가운데 양국 경제인들이 머리를 맞댔다. 한일경제협회와 일한경제협회는 최근 서울 소공동 롯데호텔에서 ‘제51회 한일경제인회의’를 열었다. 이틀 일정으로 진행된 이번 회의에는 한국...,http://news.mk.co.kr/v2/economy/view.php?year=2019&no=780201
2,3시간,"서천군 한일이엔씨 박성구 대표, 문산사랑 나눔인 31호 선정",충남일보,한일이엔씨 박성구 대표는 27일 문산면행정복지센터에 이웃사랑을 위한 후원금 50만 원을 기탁해 '문산 사랑 나눔인 31호'로 선정됐다.,http://www.chungnamilbo.com/news/articleView.html?idxno=514714
3,5시간,한일홀딩스주식종목검색 30일 현재 49500원,내외경제tv,"●30일 한일홀딩스 종목 시황30일 현재 오전 9시 57분 한일홀딩스(003300) 주가가 전일대비 -0.40% 변동된 49,500원에 거래되며 화제를 모으고 있다. 한일홀딩스 등락률 변동치를 알아보자면,5영업일전...",http://nbntv.co.kr/news/view/666080
4,1시간,한일 경제전쟁에 현대차 브랜드 상승…유니클로 브랜드 가치 추락,매일일보,일본 불매운동 직격탄을 맞은 유니클로 서울 월계점이 문을 닫았다. 사진=연합뉴스  일본의 대(對)한국 수출규제로 촉발된 일본제품 불매운동의 확산으로 유니클로 브랜드 가치가 큰 폭으로 하락했다. 반면 국산...,http://www.m-i.kr/news/articleView.html?idxno=642163
5,8면1단,경색된 한일관계 속 아덴만에서 만난 양국 해군,한국일보언론사 선정,"화이트리스트(수출심사 우대국) 배제, 한일 군사정보보호협정(GSOMIAㆍ지소미아) 종료 등 한일관계 경색이 해소될 조짐이 보이지 않는 상황에서 양국 해군이 오랜만에 연합훈련을 벌였다. 군 당국에 따르면...",http://www.hankookilbo.com/news/npath/201909291784091827?did=NA
6,2시간,9월 30일 한일시멘트 증권그래프 및 매매동향 -0.20% 변동,공감신문,"▲생활주가정보 한일시멘트 흐름▲한일시멘트 지난 한달간 흐름 ●차트 분석 현재(12시44분) 차트의 흐름은 단기적으로 하락 하며, 전일대비 -200만큼 하락한 모습을 나타내고있다. 이 종목의...",http://www.gokorea.kr/news/articleView.html?idxno=509424
7,1시간,(금일 주가정보)한일사료 주가 정보 및 오늘 시세 30일 현재 2425원,서울와이어,"한일사료 종목상세정보와 주가현황 한일사료의 영업일기준 지난 일주일간의 종가는 다음과 같다. 2019-09-27 1일전 2,585원 마감 2019-09-26 2일전 2,650원 마감 2019-09-25 3일전 2,760원 마감 2019-09-24 4일전 2,245원...",http://www.seoulwire.com/news/articleView.html?idxno=228202
8,1시간,9월 30일 한일단조 주식현황 -0.30% 1645원,내외경제tv,"●30일 한일단조 주가 시황30일 현재 오후 2시 14분 한일단조(024740) 주가가 전일대비 -0.30% 변동된 1,645원에 거래중이다.한일단조 등락률 변동치를 알아보자면,5영업일전 가격은 1,775원이며 시가는 1...",http://nbntv.co.kr/news/view/666912
9,1시간,주가그래프 한일화학 주가 30일 현재 14700원,내외경제tv,"●30일 한일화학 종목 시황30일 현재 오후 1시 48분 한일화학(007770) 주가가 전일대비 -2.97% 변동된 14,700원에 장중 가격을 형성하며 투자자들의 이목을 집중시키고 있다. 한일화학 등락률 변동수치를...",http://nbntv.co.kr/news/view/666835
10,1시간,한일시멘트주식종목시세 30일 현재 99400원,내외경제tv,"●30일 한일시멘트 주가 현황30일 현재 오후 1시 32분 한일시멘트(300720) 주가가 전일대비 -0.30% 변동된 99,400원에 거래되며 투자자들의 이목을 집중시키고 있다. 한일시멘트 등락률 변동치를 살펴보자면...",http://nbntv.co.kr/news/view/666798
11,1시간,9월 30일 한일사료 주식창 -5.42% 2445원,내외경제tv,"●30일 한일사료 주가 시황30일 현재 오후 1시 43분 한일사료(005860) 주가가 전일대비 -5.42% 변동된 2,445원에 거래되고 있다.한일사료 등락률 변동추이를 보면,5영업일전 가격은 2,110원이며 시가는 2...",http://nbntv.co.kr/news/view/666825
12,2시간,한일 관계·북미 접촉‥한반도 외교 대전환의 10월,아시아경제,"한일 관계는 물론 북ㆍ미 관계, 남북 관계 경색의 돌파구를 찾아야 하는 우리 정부로서도 더욱 적극적 대응이 필요한 상황이다. 가장 발등의 불은 한일 관계 개선이다. 지난 7월 일본의 대한(對韓) 수출 규제와 함께...",https://view.asiae.co.kr/article/2019093013003657513
